Port Name,State,Port Code,Border,Date,Measure,Value,Location
Derby Line,Vermont,209,US-Canada Border,3/1/19 0:00,Truck Containers Full,6483,POINT (-72.09944 45.005)
Norton,Vermont,211,US-Canada Border,3/1/19 0:00,Trains,19,POINT (-71.79528000000002 45.01)
Calexico,California,2503,US-Mexico Border,3/1/19 0:00,Pedestrians,346158,POINT (-115.49806000000001 32.67889)
Hidalgo,Texas,2305,US-Mexico Border,2/1/19 0:00,Pedestrians,156891,POINT (-98.26278 26.1)
Frontier,Washington,3020,US-Canada Border,2/1/19 0:00,Truck Containers Empty,1319,POINT (-117.78134000000001 48.910160000000005)
Presidio,Texas,2403,US-Mexico Border,2/1/19 0:00,Pedestrians,15272,POINT (-104.37167 29.56056)
Eagle Pass,Texas,2303,US-Mexico Border,1/1/19 0:00,Pedestrians,56810,POINT (-100.49917 28.70889)
San Luis,AZ,2608,US-Mexico Border,1/1/19 0:00,Pedestrians,238813,
Tecate,CA,2505,US-Mexico Border,1/1/19 0:00,Pedestrians,66009,
Detroit,MI,3801,US-Canada Border,2/1/19 0:00,Truck Containers Empty,39058,
Otay Mesa,CA,2506,US-Mexico Border,2/1/19 0:00,Truck Containers Empty,19908,
Carbury,ND,3421,US-Canada Border,2/1/19 0:00,Trucks,130,
Neche,ND,3404,US-Canada Border,2/1/19 0:00,Truck Containers Full,252,
Portal,ND,3403,US-Canada Border,2/1/19 0:00,Trains,125,
Derby Line,VT,209,US-Canada Border,2/1/19 0:00,Trucks,6595,
Sault Sainte Marie,MI,3803,US-Canada Border,3/1/19 0:00,Trains,30,
Fort Kent,ME,110,US-Canada Border,3/1/19 0:00,Truck Containers Empty,1616,
Douglas,AZ,2601,US-Mexico Border,3/1/19 0:00,Truck Containers Full,1639,
San Luis,AZ,2608,US-Mexico Border,3/1/19 0:00,Trucks,4511,
