Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,12440171,9731097
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicles,6379237,4577750
US-Mexico Border,12/01/2019 12:00:00 AM,Pedestrians,4531122,1877665
US-Mexico Border,12/01/2019 12:00:00 AM,Trucks,477111,456229
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Full,353884,319530
US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,195238,252943
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Empty,129766,115336
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Empty,49791,38443
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Full,37506,69527
US-Mexico Border,12/01/2019 12:00:00 AM,Buses,14647,15165
US-Mexico Border,12/01/2019 12:00:00 AM,Trains,913,1612
US-Mexico Border,12/01/2019 12:00:00 AM,Train Passengers,707,11218
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,9736683
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,4579188
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,1876642
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,456286
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,319600
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,253385
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,115242
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,38384
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,69394
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,15186
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,1613
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,1613
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,11234
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,9741273
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,4580101
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,1876031
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,456340
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,319626
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,253827
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,115187
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,38339
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,69315
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,15206
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,11248
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,11248
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,11248
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,1614
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,9746853
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,4581194
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,1876023
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,456361
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,319598
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,254261
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,115177
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,69261
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,38321
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,15223
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,928,11259
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,1613
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,9752289
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,4582178
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,1875893
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,456414
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,319625
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,254572
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,115202
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,69209
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,38299
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,15234
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,11272
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,1613
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,1613
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,9757321
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,4582938
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,1875745
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,456477
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,319730
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,254819
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,115248
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,38260
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,36430,69149
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,18883,15244
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,884,11284
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,825,1614
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,9762748
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,4584078
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,1875299
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,456657
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,255019
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,319918
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,115335
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,38236
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,33411,69120
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,15254
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,1614
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,11296
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,9769367
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,4585889
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,1874960
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,456930
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,255191
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,320097
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,115363
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,69095
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,38219
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,15262
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,1614
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,11313
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,11313
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,10246464,9777423
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicles,5352799,4588201
US-Mexico Border,12/01/2011 12:00:00 AM,Pedestrians,3753452,1874911
US-Mexico Border,12/01/2011 12:00:00 AM,Trucks,381976,457140
US-Mexico Border,12/01/2011 12:00:00 AM,Bus Passengers,246049,255374
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Full,241312,320325
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Empty,113485,115428
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Empty,34119,38200
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Full,28990,69086
US-Mexico Border,12/01/2011 12:00:00 AM,Buses,19293,15269
US-Mexico Border,12/01/2011 12:00:00 AM,Trains,699,1615
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,295,11325
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,295,11325
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,10335188,9786294
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicles,5498251,4590705
US-Mexico Border,12/01/2010 12:00:00 AM,Pedestrians,3788938,1874807
US-Mexico Border,12/01/2010 12:00:00 AM,Trucks,376557,457384
US-Mexico Border,12/01/2010 12:00:00 AM,Bus Passengers,272182,255550
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Full,249346,320485
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Empty,124954,115467
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Empty,29946,38195
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Full,27116,69107
US-Mexico Border,12/01/2010 12:00:00 AM,Buses,19063,15277
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,1615
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,1615
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,1615
US-Mexico Border,12/01/2010 12:00:00 AM,Train Passengers,224,11343
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,12599702,9791419
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicles,5969740,4592783
US-Mexico Border,12/01/2009 12:00:00 AM,Pedestrians,3708066,1874853
US-Mexico Border,12/01/2009 12:00:00 AM,Trucks,360126,457655
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Full,234058,320649
US-Mexico Border,12/01/2009 12:00:00 AM,Bus Passengers,217595,255794
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Empty,124446,115505
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Empty,29556,38208
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Full,23390,69155
US-Mexico Border,12/01/2009 12:00:00 AM,Buses,20151,15282
US-Mexico Border,12/01/2009 12:00:00 AM,Trains,604,1617
US-Mexico Border,12/01/2009 12:00:00 AM,Train Passengers,302,11356
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,13169398,9796658
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,6604996,4594136
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,3838082,1874662
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,331232,458019
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,254210,255966
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,199659,320928
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,129628,115567
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,33258,38218
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,24485,69213
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,15285
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,15285
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,1771,11380
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,1618
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,1618
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,14584120,9797791
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,7072540,4594027
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,4788991,1872735
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,361001,255777
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,359609,458241
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,224153,321049
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Empty,134428,115597
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Empty,35151,38211
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Full,26295,69218
US-Mexico Border,12/01/2007 12:00:00 AM,Buses,23760,15281
US-Mexico Border,12/01/2007 12:00:00 AM,Train Passengers,1585,11393
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,1618
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,1618
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,1618
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,15815174,9796610
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,7455033,4593093
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,4664264,1871017
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,356786,458404
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,313493,255734
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,220509,321113
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,136176,115640
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,36424,38211
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,31129,69212
