Border,Date,Measure,Value,Average
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,3873280,9735808
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,1992476,4580883
US-Canada Border,12/01/2019 12:00:00 AM,Trucks,417733,456265
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,328319,319590
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,166832,69472
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,102803,115361
US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,74776,252843
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,60875,38462
US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,22377,1882279
US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,13718,11200
US-Canada Border,12/01/2019 12:00:00 AM,Buses,3172,15164
US-Canada Border,12/01/2019 12:00:00 AM,Trains,1774,1611
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,9741311
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,4582240
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,456309
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,319604
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,69344
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,115299
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,253227
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,38408
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,1880906
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,11216
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,15184
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,1611
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,1611
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,9746873
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,4583647
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,456357
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,319628
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,69263
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,115234
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,253651
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,38348
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,1879900
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,11230
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,15205
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,1612
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,9751958
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,4584634
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,456387
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,319590
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,69210
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,254089
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,115244
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,38321
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,15120,11241
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,14316,1879303
US-Canada Border,12/01/2016 12:00:00 AM,Buses,4707,15225
US-Canada Border,12/01/2016 12:00:00 AM,Trains,2431,1612
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,9757422
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,4585656
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,456385
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,319595
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,69156
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,254516
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,115235
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,38301
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,1879298
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,11254
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,15241
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,1612
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,9761657
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,4586029
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,456433
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,319640
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,69091
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,254800
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,115228
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,38259
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,19935,1879178
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,15318,11265
US-Canada Border,12/01/2014 12:00:00 AM,Buses,5782,15251
US-Canada Border,12/01/2014 12:00:00 AM,Trains,2268,1612
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,9766208
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,4586594
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,456554
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,319764
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,142820,255018
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,120826,69057
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,90710,115292
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,38230
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,11276
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,13847,1879052
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,15260
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,1612
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,1612
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,9771510
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,4587713
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,456775
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,319976
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,255206
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,69030
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,115367
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,38204
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,1878612
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,11294
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,15270
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,1613
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,4797399,9778262
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicles,2529059,4589569
US-Canada Border,12/01/2011 12:00:00 AM,Trucks,414522,457006
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Full,271890,320183
US-Canada Border,12/01/2011 12:00:00 AM,Bus Passengers,161998,255357
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Full,114407,69014
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Empty,81462,115424
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Empty,52520,38193
US-Canada Border,12/01/2011 12:00:00 AM,Pedestrians,23785,1878272
US-Canada Border,12/01/2011 12:00:00 AM,Train Passengers,15839,11305
US-Canada Border,12/01/2011 12:00:00 AM,Buses,7156,15276
US-Canada Border,12/01/2011 12:00:00 AM,Trains,2314,1613
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,4286994,9787280
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicles,2285607,4592335
US-Canada Border,12/01/2010 12:00:00 AM,Trucks,402423,457239
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Full,302171,320357
US-Canada Border,12/01/2010 12:00:00 AM,Bus Passengers,140795,255580
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Full,99136,69032
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Empty,83795,115484
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Empty,49209,38180
US-Canada Border,12/01/2010 12:00:00 AM,Pedestrians,18678,1878244
US-Canada Border,12/01/2010 12:00:00 AM,Train Passengers,12641,11323
US-Canada Border,12/01/2010 12:00:00 AM,Buses,7109,15284
US-Canada Border,12/01/2010 12:00:00 AM,Trains,2118,1614
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,4133937,9796479
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,2060769,4595264
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,404280,457479
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,315798,320493
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,158215,255725
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,88214,69073
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,85845,115521
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,39910,38192
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,16077,1878156
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,14765,11336
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7306,15291
US-Canada Border,12/01/2009 12:00:00 AM,Trains,1965,1615
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,9802756
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,4597773
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,457790
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,320709
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,255963
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,69132
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,115593
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,38209
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,1878212
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,11362
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,15296
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,1616
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,9806478
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,4598525
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,458062
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,320873
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,255968
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,109266,69140
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,80337,115631
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,45117,38206
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,19993,1878028
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,13765,11376
US-Canada Border,12/01/2007 12:00:00 AM,Buses,8656,15297
US-Canada Border,12/01/2007 12:00:00 AM,Trains,2430,1616
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,4427650,9807573
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,2244897,4598306
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,470527,458219
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,386579,320929
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,221580,255839
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,110378,69143
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,71567,115677
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,40165,38208
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,22663,1876105
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,13751,11389
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,15294
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,15294
US-Canada Border,12/01/2006 12:00:00 AM,Trains,2822,1616
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,4698646,9805930
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicles,2232428,4597408
US-Canada Border,12/01/2005 12:00:00 AM,Trucks,501553,458325
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Full,433899,320906
US-Canada Border,12/01/2005 12:00:00 AM,Bus Passengers,212874,255812
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Full,120428,69119
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Empty,75459,115713
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Empty,38822,38210
US-Canada Border,12/01/2005 12:00:00 AM,Pedestrians,24215,1874393
US-Canada Border,12/01/2005 12:00:00 AM,Train Passengers,15162,11400
US-Canada Border,12/01/2005 12:00:00 AM,Buses,8068,15290
US-Canada Border,12/01/2005 12:00:00 AM,Trains,2953,1614
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,4407985,9802602
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicles,2210779,4595525
US-Canada Border,12/01/2004 12:00:00 AM,Trucks,502115,458385
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Full,423289,320862
US-Canada Border,12/01/2004 12:00:00 AM,Bus Passengers,201602,255861
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Full,119895,69099
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Empty,72454,115756
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Empty,37255,38213
US-Canada Border,12/01/2004 12:00:00 AM,Pedestrians,24199,1873444
US-Canada Border,12/01/2004 12:00:00 AM,Train Passengers,12406,11416
US-Canada Border,12/01/2004 12:00:00 AM,Buses,8443,15289
US-Canada Border,12/01/2004 12:00:00 AM,Buses,8443,15289
US-Canada Border,12/01/2004 12:00:00 AM,Trains,2608,1614
US-Canada Border,12/01/2003 12:00:00 AM,Personal Vehicle Passengers,4523405,9799084
US-Canada Border,12/01/2003 12:00:00 AM,Personal Vehicles,2193652,4593542
US-Canada Border,12/01/2003 12:00:00 AM,Trucks,500516,458496
US-Canada Border,12/01/2003 12:00:00 AM,Truck Containers Full,420806,320863
US-Canada Border,12/01/2003 12:00:00 AM,Bus Passengers,236257,255830
US-Canada Border,12/01/2003 12:00:00 AM,Rail Containers Full,117567,69088
US-Canada Border,12/01/2003 12:00:00 AM,Truck Containers Empty,73240,115800
US-Canada Border,12/01/2003 12:00:00 AM,Rail Containers Empty,38320,38218
US-Canada Border,12/01/2003 12:00:00 AM,Pedestrians,35722,1871955
US-Canada Border,12/01/2003 12:00:00 AM,Train Passengers,14959,11428
US-Canada Border,12/01/2003 12:00:00 AM,Buses,10418,15283
US-Canada Border,12/01/2003 12:00:00 AM,Trains,2882,1614
US-Canada Border,12/01/2003 12:00:00 AM,Trains,2882,1614
US-Canada Border,12/01/2002 12:00:00 AM,Personal Vehicle Passengers,4873112,9792882
US-Canada Border,12/01/2002 12:00:00 AM,Personal Vehicles,2412388,4591468
US-Canada Border,12/01/2002 12:00:00 AM,Trucks,512209,458619
US-Canada Border,12/01/2002 12:00:00 AM,Truck Containers Full,425003,320879
US-Canada Border,12/01/2002 12:00:00 AM,Bus Passengers,255742,255732
US-Canada Border,12/01/2002 12:00:00 AM,Rail Containers Full,114804,69098
US-Canada Border,12/01/2002 12:00:00 AM,Truck Containers Empty,72516,115839
US-Canada Border,12/01/2002 12:00:00 AM,Pedestrians,51264,1870284
US-Canada Border,12/01/2002 12:00:00 AM,Rail Containers Empty,36347,38231
US-Canada Border,12/01/2002 12:00:00 AM,Train Passengers,14339,11442
US-Canada Border,12/01/2002 12:00:00 AM,Buses,10241,15274
US-Canada Border,12/01/2002 12:00:00 AM,Trains,2275,1614
US-Canada Border,12/01/2001 12:00:00 AM,Personal Vehicle Passengers,4452131,9787719
US-Canada Border,12/01/2001 12:00:00 AM,Personal Vehicles,2172450,4589744
US-Canada Border,12/01/2001 12:00:00 AM,Trucks,455087,458866
US-Canada Border,12/01/2001 12:00:00 AM,Truck Containers Full,375793,321023
US-Canada Border,12/01/2001 12:00:00 AM,Bus Passengers,210570,255626
US-Canada Border,12/01/2001 12:00:00 AM,Rail Containers Full,96308,69139
US-Canada Border,12/01/2001 12:00:00 AM,Truck Containers Empty,69582,115877
US-Canada Border,12/01/2001 12:00:00 AM,Rail Containers Empty,32353,38258
US-Canada Border,12/01/2001 12:00:00 AM,Rail Containers Empty,32353,38258
US-Canada Border,12/01/2001 12:00:00 AM,Pedestrians,27496,1868039
US-Canada Border,12/01/2001 12:00:00 AM,Train Passengers,16842,11452
US-Canada Border,12/01/2001 12:00:00 AM,Buses,8381,15263
US-Canada Border,12/01/2001 12:00:00 AM,Trains,2585,1614
US-Canada Border,12/01/2000 12:00:00 AM,Personal Vehicle Passengers,5897718,9780715
US-Canada Border,12/01/2000 12:00:00 AM,Personal Vehicles,2492742,4588707
US-Canada Border,12/01/2000 12:00:00 AM,Trucks,475067,459090
US-Canada Border,12/01/2000 12:00:00 AM,Truck Containers Full,357904,321236
US-Canada Border,12/01/2000 12:00:00 AM,Bus Passengers,286591,255457
US-Canada Border,12/01/2000 12:00:00 AM,Rail Containers Full,91855,69191
US-Canada Border,12/01/2000 12:00:00 AM,Truck Containers Empty,60704,115913
US-Canada Border,12/01/2000 12:00:00 AM,Pedestrians,45110,1866399
US-Canada Border,12/01/2000 12:00:00 AM,Rail Containers Empty,26822,38295
US-Canada Border,12/01/2000 12:00:00 AM,Train Passengers,18112,11458
US-Canada Border,12/01/2000 12:00:00 AM,Buses,11055,15254
US-Canada Border,12/01/2000 12:00:00 AM,Trains,2610,1614
US-Canada Border,12/01/2000 12:00:00 AM,Trains,2610,1614
US-Canada Border,12/01/1999 12:00:00 AM,Personal Vehicle Passengers,6026165,9767448
US-Canada Border,12/01/1999 12:00:00 AM,Personal Vehicles,2706197,4585961
